user_id,Recency,Frequency,MonetaryValue
0,2,272,64390
1,1,62,14770
2,1,54,12910
3,18,24,5520
4,2,175,41690
5,1,211,50110
6,1,403,95870
7,1,59,14450
8,18,22,5440
9,4,184,43710
10,4,181,43270
11,16,51,11960
12,1,636,151400
13,3,98,23050
14,7,104,24970
15,3,140,33690
16,14,28,6460
17,1,277,65440
18,2,20,5030
19,1,48,10840
20,3,179,42110
21,1,128,31310
22,1,151,36340
23,1,68,16730
24,22,78,18670
25,1,107,25250
26,45,25,6020
27,3,79,19060
28,5,34,7950
29,15,43,9980
30,14,36,8440
31,3,41,10320
32,15,24,5750
33,35,20,4590
34,14,25,5540
35,1,20,4970
36,4,57,13930
37,7,121,29400
38,4,22,5420
39,13,35,8510
40,3,52,12350
41,1,183,44230
42,1,221,52960
43,1,151,36290
44,2,48,12070
45,40,27,6650
46,1,25,5870
47,16,66,16880
48,2,215,52130
49,7,24,5580
50,11,23,5430
51,3,56,13870
52,1,28,6730
53,1,65,16050
54,4,21,4710
55,1,187,44530
56,1,106,25700
57,1,154,36470
58,1,382,92810
59,1,208,50250
60,52,21,5570
61,1,232,55680
62,5,93,22250
63,3,200,48520
64,3,80,19270
65,21,38,9180
66,1,30,6730
67,13,34,7860
68,6,65,15860
69,3,131,31710
70,3,38,8960
71,1,137,32390
72,2,66,16230
73,5,39,9630
74,7,79,18610
75,5,82,19170
76,2,72,17530
77,27,21,5140
78,4,55,13800
79,25,29,6420
80,6,58,13490
81,2,168,40720
82,1,155,36470
83,1,68,16000
84,1,288,68420
85,18,23,5340
86,1,211,51080
87,1,21,4890
88,8,76,17650
89,1,300,71740
90,8,98,22790
91,1,388,92720
92,7,20,4710
93,1,400,97310
94,4,278,66940
95,3,56,13540
96,2,63,15280
97,8,27,7020
98,1,136,32600
99,8,59,14600
100,3,67,14970
101,1,216,52430
102,11,29,7160
103,1,111,26730
104,6,23,5650
105,5,64,15490
106,58,22,5340
107,3,33,8030
108,1,234,56080
109,1,133,31280
110,8,24,5950
111,4,46,11140
112,2,51,11870
113,4,48,11790
114,3,92,21830
115,1,143,34760
116,1,86,20190
117,1,71,17110
118,1,181,44170
119,10,26,6580
120,3,74,17550
121,1,61,14250
122,9,54,13120
123,1,24,5600
124,3,182,43720
125,6,45,10820
126,19,23,5290
127,1,184,44560
128,26,30,7500
129,1,353,85750
130,2,30,7310
131,20,22,5440
132,8,26,6500
133,1,25,6190
134,3,55,12950
135,7,35,8330
136,9,47,11580
