user_id,Recency,Frequency,MonetaryValue,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,Customer Segment
0,2,272,64390,3,4,4,344,11,Most Loyal Customer
1,1,62,14770,4,2,2,422,8,Loyal Customers
2,1,54,12910,4,2,2,422,8,Loyal Customers
3,18,24,5520,1,1,1,111,3,Lost Customers
4,2,175,41690,3,4,4,344,11,Most Loyal Customer
5,1,211,50110,4,4,4,444,12,Most Loyal Customer
6,1,403,95870,4,4,4,444,12,Most Loyal Customer
7,1,59,14450,4,2,2,422,8,Loyal Customers
8,18,22,5440,1,1,1,111,3,Lost Customers
9,4,184,43710,2,4,4,244,10,Most Loyal Customer
10,4,181,43270,2,4,4,244,10,Most Loyal Customer
11,16,51,11960,1,2,2,122,5,Attention Needed Customers
12,1,636,151400,4,4,4,444,12,Most Loyal Customer
13,3,98,23050,3,3,3,333,9,Most Loyal Customer
14,7,104,24970,2,3,3,233,8,Loyal Customers
15,3,140,33690,3,3,3,333,9,Most Loyal Customer
16,14,28,6460,1,1,1,111,3,Lost Customers
17,1,277,65440,4,4,4,444,12,Most Loyal Customer
18,2,20,5030,3,1,1,311,5,Potential Loyalists Customers
19,1,48,10840,4,2,2,422,8,Loyal Customers
20,3,179,42110,3,4,4,344,11,Most Loyal Customer
21,1,128,31310,4,3,3,433,10,Most Loyal Customer
22,1,151,36340,4,4,4,444,12,Most Loyal Customer
23,1,68,16730,4,3,3,433,10,Most Loyal Customer
24,22,78,18670,1,3,3,133,7,Potential Loyalists Customers
25,1,107,25250,4,3,3,433,10,Most Loyal Customer
26,45,25,6020,1,1,1,111,3,Lost Customers
27,3,79,19060,3,3,3,333,9,Most Loyal Customer
28,5,34,7950,2,2,2,222,6,Loyal Customers
29,15,43,9980,1,2,2,122,5,Attention Needed Customers
30,14,36,8440,1,2,2,122,5,Attention Needed Customers
31,3,41,10320,3,2,2,322,7,Loyal Customers
32,15,24,5750,1,1,1,111,3,Lost Customers
33,35,20,4590,1,1,1,111,3,Lost Customers
34,14,25,5540,1,1,1,111,3,Lost Customers
35,1,20,4970,4,1,1,411,6,Potential Loyalists Customers
36,4,57,13930,2,2,2,222,6,Loyal Customers
37,7,121,29400,2,3,3,233,8,Loyal Customers
38,4,22,5420,2,1,1,211,4,Lost Customers
39,13,35,8510,1,2,2,122,5,Attention Needed Customers
40,3,52,12350,3,2,2,322,7,Loyal Customers
41,1,183,44230,4,4,4,444,12,Most Loyal Customer
42,1,221,52960,4,4,4,444,12,Most Loyal Customer
43,1,151,36290,4,4,4,444,12,Most Loyal Customer
44,2,48,12070,3,2,2,322,7,Loyal Customers
45,40,27,6650,1,1,1,111,3,Lost Customers
46,1,25,5870,4,1,1,411,6,Potential Loyalists Customers
47,16,66,16880,1,3,3,133,7,Potential Loyalists Customers
48,2,215,52130,3,4,4,344,11,Most Loyal Customer
49,7,24,5580,2,1,1,211,4,Lost Customers
50,11,23,5430,1,1,1,111,3,Lost Customers
51,3,56,13870,3,2,2,322,7,Loyal Customers
52,1,28,6730,4,1,1,411,6,Potential Loyalists Customers
53,1,65,16050,4,2,3,423,9,Most Loyal Customer
54,4,21,4710,2,1,1,211,4,Lost Customers
55,1,187,44530,4,4,4,444,12,Most Loyal Customer
56,1,106,25700,4,3,3,433,10,Most Loyal Customer
57,1,154,36470,4,4,4,444,12,Most Loyal Customer
58,1,382,92810,4,4,4,444,12,Most Loyal Customer
59,1,208,50250,4,4,4,444,12,Most Loyal Customer
60,52,21,5570,1,1,1,111,3,Lost Customers
61,1,232,55680,4,4,4,444,12,Most Loyal Customer
62,5,93,22250,2,3,3,233,8,Loyal Customers
63,3,200,48520,3,4,4,344,11,Most Loyal Customer
64,3,80,19270,3,3,3,333,9,Most Loyal Customer
65,21,38,9180,1,2,2,122,5,Attention Needed Customers
66,1,30,6730,4,1,1,411,6,Potential Loyalists Customers
67,13,34,7860,1,2,2,122,5,Attention Needed Customers
68,6,65,15860,2,2,3,223,7,Loyal Customers
69,3,131,31710,3,3,3,333,9,Most Loyal Customer
70,3,38,8960,3,2,2,322,7,Loyal Customers
71,1,137,32390,4,3,3,433,10,Most Loyal Customer
72,2,66,16230,3,3,3,333,9,Most Loyal Customer
73,5,39,9630,2,2,2,222,6,Loyal Customers
74,7,79,18610,2,3,3,233,8,Loyal Customers
75,5,82,19170,2,3,3,233,8,Loyal Customers
76,2,72,17530,3,3,3,333,9,Most Loyal Customer
77,27,21,5140,1,1,1,111,3,Lost Customers
78,4,55,13800,2,2,2,222,6,Loyal Customers
79,25,29,6420,1,1,1,111,3,Lost Customers
80,6,58,13490,2,2,2,222,6,Loyal Customers
81,2,168,40720,3,4,4,344,11,Most Loyal Customer
82,1,155,36470,4,4,4,444,12,Most Loyal Customer
83,1,68,16000,4,3,3,433,10,Most Loyal Customer
84,1,288,68420,4,4,4,444,12,Most Loyal Customer
85,18,23,5340,1,1,1,111,3,Lost Customers
86,1,211,51080,4,4,4,444,12,Most Loyal Customer
87,1,21,4890,4,1,1,411,6,Potential Loyalists Customers
88,8,76,17650,2,3,3,233,8,Loyal Customers
89,1,300,71740,4,4,4,444,12,Most Loyal Customer
90,8,98,22790,2,3,3,233,8,Loyal Customers
91,1,388,92720,4,4,4,444,12,Most Loyal Customer
92,7,20,4710,2,1,1,211,4,Lost Customers
