,user_id,Apr-2019,Aug-2019,Dec-2019,Feb-2019,Jan-2019,Jul-2019,Jun-2019,Mar-2019,May-2019,Nov-2019,Oct-2019,Sep-2019,CLV
2,2,1140,1520,970,0,1850,1220,1690,1130,0,720,1350,1320,11770
3,3,540,470,150,0,250,600,950,840,280,880,340,220,4980
4,4,2620,2750,4050,4370,4540,2990,5480,3610,3050,3380,1870,2980,39070
5,5,2780,3300,3680,5210,4950,3580,3220,4980,4750,3470,6730,3460,47330
6,6,9790,9140,5620,9140,10190,6360,7650,8210,7160,5670,7960,8980,86080
7,7,1320,1070,630,810,1180,1420,1180,2520,1500,250,1230,1340,13130
8,8,0,470,240,330,0,500,1370,750,740,150,420,470,5440
9,9,4030,2540,1150,2860,5580,2210,5090,5000,4380,4290,3790,2790,39680
10,10,4440,3500,3140,4070,3160,3210,3190,3980,4030,3060,4090,3400,38830
11,11,1280,1490,430,1690,580,870,1220,610,1400,550,1260,580,10680
12,12,16630,10510,10520,15110,15410,13880,11340,15150,11890,8290,10540,12130,134770
13,13,2610,1560,1030,1820,890,1680,1400,2220,3680,1860,2470,1830,20440
14,14,1200,890,1650,2850,2780,1980,2320,3680,1840,1640,1450,2690,23770
15,15,2590,2520,1590,3730,3660,4680,1180,3720,2340,2610,2900,2170,31100
16,16,0,540,160,0,590,770,690,1630,860,250,440,530,6460
17,17,4880,4470,5740,5580,6660,4700,4920,6640,6410,5330,5710,4400,60560
18,18,770,0,380,590,1110,0,0,600,1020,140,420,0,4260
19,19,510,560,1220,1440,860,2090,1230,230,460,580,690,970,10330
20,20,3140,3260,3220,3240,5130,4420,2780,4100,5040,3730,2610,1440,38970
21,21,3200,2570,930,2720,3900,1310,2800,4470,3430,2020,2510,1450,28110
22,22,3990,3050,2830,2120,3480,3190,2950,3690,3920,2580,1660,2880,32350
23,23,1160,1460,920,2090,2030,1830,1750,2410,1050,900,520,610,15570
24,24,2090,1810,390,2850,1390,1090,1530,2450,2610,1220,510,730,16580
25,25,2950,1710,1880,2990,1430,1490,2610,3600,2110,1190,1740,1550,22300
26,26,0,410,0,240,850,360,750,1420,1080,750,160,0,6020
27,27,1210,930,1650,2360,1520,1980,1440,2410,1350,1950,1050,1210,17850
